,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Source,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model,Aspen output for Coal Model,"Aspen input for TES model, and output of Coal Model ",Aspen input for TES model and Coal Model,Aspen output for TES model,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,"Aspen output for Coal Model, input for TES model",Aspen output for TES model (design spec set at 290 C),"NETL for 700, 600, 660 MW Archetypes and CEA report for the rest",Aspen output for TES model,Aspen output for TES model 
Capacity,Steam Turbine Efficiency of TES,Enthalpy change of steam between input and output of the heat exchanger (J/kg) - Qs,Gross Power Output (MW) ,Molten Salt Flow (kg/s),deltaA for Heat Exchanger Network (C),deltaB for Heat Exchanger Network (C),deltaC for Heat Exchanger Network (C) ,deltaD for Heat Exchanger Network (C) ,Peak Steam Flow (kg/s) ,Steam Turbine Efficiency of Coal Plant,Output Target Pressure of LP turbine for TES model,HP turbine input temperature for TES (C),HP turbine output temperature for TES (K),HP_output_P_MS - HP turbine output pressure for TES (Pa) ,IP_input_T_MS - IP turbine input temperature for TES (K),IP_input_P_MS - IP turbine input pressure for TES  (Pa) ,LP_input_T_MS - LP turbine input temperature for TES (K),LP_input_P_MS - LP turbine input pressure for TES (Pa) ,LP_output_T_MS - LP turbine output temperature for TES (K),LP_output_P_MS - LP turbine output pressure for TES (Pa) ,LP_vaporfraction_MS - LP turbine output vapor fraction for TES,HP_output_T_coal - HP turbine output temperature for Coal Plant (C),HP_output_P_coal - HP turbine output pressure for Coal Plant (bar),IP_input_T_coal - IP turbine output temperature for Coal Plant (C),IP_input_P_coal - IP turbine input pressure for Coal Plant (bar) ,LP_input_T_coal - LP turbine input temperature for Coal Plant (C) ,LP_input_P_coal - LP  turbine input pressure for Coal Plant (bar),LP_output_T_coal - LP turbine output temperature for Coal Plant (C) ,LP_output_P_coal - LP turbine output pressure for Coal Plant (bar),LP_vaporfraction_coal - LP turbine output vapor fraction for Coal Plant,coal_power_net - Gross Power Output (MW) of Coal Plant,"Calibrated steam flow (kg/s) from Coal Plant model, used for TES model ",cold_salt_temp - Cold Salt Temperature (C) ,steam_peak_temp - Peak Steam Temperature (C)   ,Salt LMTD for TES,UA
210MW_3,0.4069828330209366,-3479794.0,227.6261991559624,1662.277254,26.00060199999996,146.89478199999996,77.25079700000003,243.50483000000003,147.60101,0.4069828279616113,0.0475,539.15,322.65969800000005,36.774800899999995,539.15,31.7748009,313.949654,6.35496019,35.28863899999999,0.0475,0.906798818,322.50972,36.7748009,539.0,31.7748009,313.799654,6.35496019,35.1386392,0.0475,0.906798818,-227.66224,147.60101,290.150051,539.15,100.064938,5655832.99
210MW_4,0.4071937926748124,-3482039.1,230.65357632751,1683.47146,25.000590999999982,146.60151299999995,77.25078799999994,243.49180099999995,149.368687,0.4071937883016628,0.0475,540.15,323.530348,36.774800899999995,540.15,31.7748009,314.744061,6.35496019,35.28863899999999,0.0475,0.907167507,323.380371,36.7748009,540.0,31.7748009,314.594061,6.35496019,35.1386392,0.0475,0.907167507,-230.690036,149.368687,290.150036,540.15,99.3809717,5767367.02
210MW_5,0.4055400517679736,-3471941.100000001,229.87375038751,1684.397223,30.000621000000024,149.72428000000002,78.87525599999992,243.55459,149.936869,0.4055400469493229,0.0475,535.15,319.614102,36.039304900000005,535.15,31.0393049,310.906825,6.20786098,35.28863899999999,0.0475,0.906622711,319.464118,36.0393049,535.0,31.0393049,310.756825,6.20786098,35.1386392,0.0475,0.906622711,-229.909592,149.936869,290.155974,535.15,103.216978,5555960.01
210MW_6,0.4071937930913387,-3482039.1,230.65357632751,1683.432298,25.000590999999982,146.59967699999993,77.24732700000004,243.48550300000005,149.368687,0.4071937883016628,0.0475,540.15,323.530348,36.774800899999995,540.15,31.7748009,314.744061,6.35496019,35.28863899999999,0.0475,0.907167507,323.380371,36.7748009,540.0,31.7748009,314.594061,6.35496019,35.1386392,0.0475,0.907167507,-230.690036,149.368687,290.143609,540.15,99.3784838,5767511.41
210MW_7,0.4015387386445743,-3478672.4000000004,230.6674739659624,1705.28545,30.00043099999993,159.843749,89.217896,243.59647900000004,151.237374,0.4015387425789585,0.0475,535.15,322.29515200000003,31.6263288,535.15,26.6263288,311.711276,5.32526576,35.28863899999999,0.0475,0.915083045,322.145139,31.6263288,535.0,26.6263288,311.561276,5.32526576,35.1386392,0.0475,0.915083045,-230.699064,151.237374,290.248194,535.15,107.047116,5421791.99
210MW_8,0.404460372089073,-3486858.0,232.56735993751,1707.298369,25.00046899999996,153.83479899999998,84.47089800000003,243.469516,151.11532,0.4044603930179549,0.0475,540.15,325.421369,33.5876515,540.15,28.5876515,315.31802200000004,5.7175303,35.28863899999999,0.0475,0.913013871,325.271315,33.5876515,540.0,28.5876515,315.168022,5.7175303,35.1386392,0.0475,0.913013871,-232.600967,151.11532,290.162466,540.15,101.962626,5700644.28
210MW_9,0.4071937930635999,-3482039.1,231.38636748588505,1688.823391,25.000590999999982,146.60186699999997,77.25145599999996,243.49301699999995,149.842873,0.4071937880377666,0.0475,540.15,323.530348,36.774800899999995,540.15,31.7748009,314.744061,6.35496019,35.28863899999999,0.0475,0.907167507,323.380371,36.7748009,540.0,31.7748009,314.594061,6.35496019,35.1386392,0.0475,0.907167507,-231.422939,149.842873,290.15127600000005,540.15,99.3814517,5785648.17
210MW_10,0.4071937944175892,-3482039.1,236.1170076261172,1723.678658,25.000590999999982,146.61807999999996,77.28200900000002,243.548619,152.90404,0.4071937882163545,0.0475,540.15,323.530348,36.774800899999995,540.15,31.7748009,314.744061,6.35496019,35.28863899999999,0.0475,0.907167507,323.380371,36.7748009,540.0,31.7748009,314.594061,6.35496019,35.1386392,0.0475,0.907167507,-236.154306,152.90404,290.20801200000005,540.15,99.4034121,5902539.93
210MW_11,0.4040061305310604,-3487598.700000001,227.79450139751,1673.837394,25.00044800000001,154.960244,85.61960800000008,243.45222099999995,148.106061,0.4040061460982521,0.0475,540.15,325.71615999999995,33.0973208,540.15,28.097320800000002,315.406391,5.6194641700000005,35.28863899999999,0.0475,0.913965955,325.566121,33.0973208,540.0,28.0973208,315.256391,5.61946417,35.1386392,0.0475,0.913965955,-227.826955,148.106061,290.150212,540.15,102.378254,5566476.02
210MW_12,0.4025826954708092,-3489819.4000000004,229.23100151751,1690.027783,25.000380999999948,158.40354000000002,89.20495200000005,243.50885400000004,149.335017,0.402582702150723,0.0475,540.15,326.60638200000005,31.6263288,540.15,26.6263288,315.671604,5.32526576,35.28863899999999,0.0475,0.916917048,326.456367,31.6263288,540.0,26.6263288,315.521604,5.32526576,35.1386392,0.0475,0.916917048,-229.262207,149.335017,290.224156,540.15,103.709509,5546688.84
