Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
16,-1.302618762312319,-1.0426022005625672,-0.849336817870692,-71.2938518512379,-2.488061126534886,-2.911286916078423,-65.2729176228019,-0.0,-77.02117269630102,158.40987825654494,-23.353522194161094,-36.558023215524656
10,-1.2375583214711963,-1.3791843816130467,-0.8069159427904242,-68.58066685176658,-2.794310779507732,-2.874186983593899,-65.54461773877568,-0.0,-74.84110553729585,158.29189725987598,-21.734779268156615,-36.76676626836706
11,-1.1254902466268069,-1.2542912466219773,-0.7338450299285023,-73.82876199754813,-2.541269751749071,-2.4047955240546317,-64.98074472398426,-0.0,-79.5222816951023,163.73605954243928,-17.819808079844748,-34.64804567914281
12,-1.0977192030319587,-1.1273574671590059,-0.7157376830375929,-72.2732665391647,-2.4221141724948803,-2.386116104903105,-64.66814028332404,-0.0,-77.67386546925852,163.68261827214096,-15.424418121507632,-34.378914536162846
14,-1.0315915997081255,-0.9828223921139878,-0.6726209939452444,-67.89293371288198,-2.1721070478113833,-2.506611525352346,-65.88554751769618,-0.0,-72.78747685140522,158.44611149625553,-14.798244127388463,-32.064719729190095
19,-1.045907532949171,-0.8371332633824902,-0.6819553053612835,-68.27214217511424,-1.9977309938799321,-2.4984136172929277,-65.43009057722709,-0.0,-72.8707616551798,158.21289592347873,-14.546221540973741,-31.95985161475263
13,-1.0251231054152448,-0.976659700370372,-0.6684033897481595,-67.46721770824124,-2.1584870628810395,-2.504358355023083,-65.91190879014962,-0.0,-72.33107009243224,158.4010490254264,-14.382185256090558,-32.035897043911895
21,-1.0361835497417595,-0.8293502906635315,-0.6756150489536834,-68.06803614440426,-2.0284053787896967,-2.462464973736741,-65.21891054473224,-0.0,-72.67314909933997,157.98615298013317,-14.165535882443285,-31.797164244767547
18,-1.023210068524982,-0.8236194844807629,-0.66715604654088,-67.2157939054665,-1.964496663664409,-2.486245672557778,-65.42622833337599,-0.0,-71.72938964481126,158.1892509458373,-13.256811266258907,-31.804198561350994
17,-1.0195908983017463,-0.8207062810192226,-0.6647962659130631,-66.97804663604751,-1.9575473147054798,-2.462240630484092,-65.21296808744843,-0.0,-71.47567667314034,157.97399058574405,-12.971161698793388,-31.794266893464357
20,-1.015508485865843,-0.8128021894711781,-0.6621344409126378,-66.70986847657697,-1.9396674302955488,-2.4862456722212416,-65.42622836061764,-0.0,-71.17483020422284,158.18925085346874,-12.702251898022583,-31.80419851442968
22,-1.0078069062031019,-0.8066379270357675,-0.6571128372381144,-66.20394324452407,-1.9249570625915218,-2.4862456725577804,-65.42622833337622,-0.0,-70.63504286376299,158.18925094583741,-12.162464485210586,-31.804198561351015
23,-1.0152504022975652,-0.7686123273628683,-0.6619661646041987,-65.88938559077346,-2.337340510766563,-2.4570597003063654,-64.37143331127525,-0.0,-70.7073953202575,157.86527391470557,-11.397981784022159,-31.7273673668884
24,-1.0067919799174911,-0.7622087369809741,-0.6564510824049021,-65.34043702357361,-2.3178672722023363,-2.457846084611103,-64.38641327894229,-0.0,-70.11830615204799,157.8936456979581,-10.806441558772109,-31.737521741128816
25,-1.0044366694251323,-0.7434699078264301,-0.6549153668321234,-65.18757822059672,-2.256804816248432,-2.4779313451274514,-64.37948059897954,-0.0,-69.88167421076213,157.8096080993655,-10.627319259085452,-31.697841203581863
