Name,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Revenue,Profits,Heat Exchanger,Tank Cost,Hot Pump,Cold Pump,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost,TES Fixed O&M
Group197,-2.8841875839807796,-64.86294068712148,-0.0,158.15755592511428,13.416393370491907,-2.4877245098630443,-71.28420630882057,-0.7949858901788719,-0.2474752538481207,-1.3024425274168943,-0.8492219087433185,-0.8492219087433185,-0.0,-3.652017940998203
Group194,-2.9009289037131003,-66.13769742858341,-0.0,158.17642090673095,11.366272077923911,-3.2608791103351815,-70.3891060093685,-1.2150296472445064,-0.7999721208441384,-1.2578568385565456,-0.8201510338297708,-0.8201510338297708,-0.0,-3.52700072741513
Group196,-3.134472171548025,-65.26840883803615,-0.0,157.57291997720301,10.448870136190285,-3.209734013296439,-71.55063657776262,-1.067188794743254,-0.5170354986799965,-1.4215430391618522,-0.9268781291041147,-0.9268781291041147,-0.0,-3.985972949774902
Group205,-3.1176598326186458,-65.93304310655517,-0.0,157.89049755755877,7.304853187762889,-4.370476533798886,-70.92816941541534,-2.069462132447899,-1.8396514299250957,-1.3914715912738609,-0.9072708667209042,-0.9072708667209042,-0.0,-3.9016533234674413
Group200,-3.473804440620195,-64.07663444154971,-0.0,156.83524793969326,7.053567318612606,-3.261700613275818,-74.75402656823253,-1.0423203836524493,-0.32446928269056685,-1.7076559617391331,-1.1134302088408627,-1.1134302088408627,-0.0,-4.788226795459721
Group199,-3.6961178205365797,-64.5768625945961,-0.0,156.25439945206537,4.37493865829132,-3.8862313025987243,-74.85998750435662,-1.2976512990704252,-0.6608473738214464,-1.6892219064596188,-1.1846865041854575,-1.1846865041854575,-0.0,-5.094659385491007
Group198,-3.73311107969901,-65.2206272655898,-0.0,156.25524443366717,3.319080779067229,-4.37708380165428,-73.95404364052898,-1.658964198035952,-1.1415544499728776,-1.6522974371244326,-1.1703496133468925,-1.1703496133468925,-0.0,-5.033004614198011
Group201,-4.1941096594535585,-64.86135325015644,-0.0,152.07415633052054,-6.274970684781704,-4.295706517254122,-78.15739314179946,-1.9276528954956609,-1.7224054906931465,-1.3966765175997178,-1.7658523429234434,-1.7658523429234434,-0.0,-7.593921413371531
Group202,-5.514645100242363,-64.04908891312935,-0.0,152.0577196949706,-12.16443676944045,-4.358683376685731,-83.41391692879564,-1.7227228350086028,-1.4354493439449196,-1.5017625621432342,-2.1982605654292082,-2.1982605654292082,-0.0,-10.868696082712438
Group204,-5.514645100242397,-64.04908850971921,-0.0,152.05771969497115,-35.680472401175734,-5.441829245742396,-104.14252502786827,-2.1508246173610535,-1.7921628036677704,-1.8749550551309364,-2.7445348975568438,-2.7445348975568438,-0.0,-13.569599600272802
Group203,-5.500051011983139,-64.61408044478895,-0.0,152.5791395921908,-50.872437922151505,-6.8728162117381855,-114.63806690071534,-3.518583781008915,-3.4419411455929505,-2.048587978809894,-2.78957949806365,-2.78957949806365,-0.0,-14.826231990100219
