Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
NEPAL,-1.3649073241834235,-1.0924573028807698,-0.8899503653336759,-74.70297785997288,-2.5997355632284815,-2.831612314017852,-45.15678472192164,-0.0,-80.69686790851154,142.48144527255178,-24.96151870673428,-38.75769903483518
BIHAR,-1.4512500496198013,-1.1615651018370343,-0.9462477700618553,-47.776481208382634,-2.764192336201925,-3.5526701171037596,-146.13017394365676,-0.0,-54.14953898031703,207.33368839161113,-37.70816847297645,-41.20947382351004
UTTAR PRADESH,-1.2830054212490916,-1.0269038910152626,-0.8365484770541632,-70.22039070318301,-2.443737213756766,-2.874636098893237,-64.78784016503838,-0.0,-75.8546145734717,157.7077227488331,-22.24139324938743,-36.43202516081727
BHUTAN,-1.2983263427939045,-1.0391665936412504,-0.8465380635150693,-61.825728581968484,-2.9106452446691535,-2.478005833182077,-147.41885462426734,-0.0,-67.96495946150971,230.63382272249157,-24.095072895624384,-36.86707569915721
WEST BENGAL,-1.3140758234059011,-1.0517723103857544,-0.8568070801553372,-61.71564417413214,-2.506637062566038,-2.5353271185367388,-148.14134343960356,-0.0,-67.49003156012704,231.49958844479684,-23.981409208509223,-37.314295535038724
RAJASTHAN,-1.3568079900915757,-1.0859746820314728,-0.8846694167987188,-59.395371674279986,-2.5843087818610053,-3.3214753048992263,-60.81412684590003,-0.0,-65.35369409331533,148.16429715018174,-19.852710680131267,-38.527711586198556
GOA,-0.9049183729152716,-0.7242870394835844,-0.5900271925457682,-49.664078838652465,-1.7235957593634887,-2.5719386281126364,-47.49045028891192,-0.0,-53.63796126572614,122.88339817959438,-6.512875328592085,-25.695923325435704
DELHI,-0.8898058952121696,-0.7121911730911507,-0.5801735161717902,-58.45232714985746,-1.694811060917544,-2.0121131750162378,-96.85035916982382,-0.0,-62.35984424346968,184.44722786785135,-2.041880446913234,-25.266791726454873
PUNJAB,-0.8767436873431355,-0.7017363208638686,-0.5716566619801967,-47.985209767739285,-1.6699315062915703,-2.600993777074936,-46.74851142872745,-0.0,-51.83536513695385,122.8375081251198,-3.2432414928587465,-24.895879275222068
CHHATTISGARH,-0.7558089347291452,-0.6049414313322491,-0.4928044751954659,-49.649919553566285,-1.4395873857565566,-2.3049419089454295,-45.53808275693906,-0.0,-52.968998858221575,122.79981336214351,0.5259552496732072,-21.46183458836434
MADHYA PRADESH,-0.6693246350332801,-0.5357203178447074,-0.4364147608564291,-29.30022947894804,-1.2748609566455091,-3.207594215590911,-42.220447649268976,-0.0,-32.23951934726778,94.29358251004912,-2.380018380809633,-19.00603967873106
GUJARAT,-0.6374248548957105,-0.510188073161042,-0.41561538460245656,-23.650205305210765,-1.2141015252701195,-3.3588710924114054,-10.019826199610193,-0.0,-26.449409637066534,64.07239511995199,6.144069776290224,-18.1002184145738
DAMAN  DIU,-0.5292586191631804,-0.42361296871443,-0.34508855886025874,-34.76758034608372,-1.0080775668830717,-2.4375388254045003,-41.82484237071832,-0.0,-37.091780615434146,109.31457262675687,12.931664240489253,-15.028746574710581
HARYANA,-0.7789648447653791,-0.6234751754009668,-0.5079026508966689,-51.18527091361094,-1.8453997628171548,-2.19779608055382,-91.32323418788314,-0.0,-54.967745065959356,201.6074258342915,30.999284241679838,-22.119366258215255
UTTARAKHAND,-0.654808717821337,-0.5241019321234005,-0.4269500553800692,-43.03168803315929,-1.2472125254735646,-2.404464376933877,-43.34240485079684,-0.0,-45.90723231950399,137.98811065006822,27.740161182873884,-18.59384791995969
DADRA  NAGAR HAVELI,-0.9106126804822332,-0.7288447026861745,-0.5937400095332305,-64.87293352681769,-2.6355138749604796,-2.2669689292467634,-128.62818015929676,-0.0,-69.77289426866577,275.9795622208683,49.45390085391646,-25.85761800974266
HIMACHAL PRADESH,-0.4715566807153401,-0.3774289509933495,-0.3074655933355929,-30.97707659522929,-0.898172829182432,-2.533753106713492,-22.625657087730993,-0.0,-33.047883049105245,119.01316486982127,47.41562044569036,-13.390251180581213
JAMMU  KASHMIR,-0.43253723215123496,-0.34619819943756924,-0.28202403266002185,-30.168123584096005,-0.8238525831903778,-2.5215085482181756,-12.592524994810468,-0.0,-32.06757900167521,122.82181148365126,63.35793803518414,-12.282260903763277
CHANDIGARH,-0.4096595122167661,-0.32788711576701757,-0.2671072431806608,-47.640782003100846,-1.527841593038338,-2.7535862340943638,-89.03628112505665,-0.0,-50.187335743260505,8689.725530014442,8536.115698234662,-11.63262867737467
BANGLADESH,-0.8369429796735105,-0.6698802578307851,-0.5457057027439625,-27.465034441742233,-4.437999131899236,-5.920806635264558,-577.3040214229858,-0.0,-33.984283866665734,42642.88859787381,42001.913781464165,-23.765704484669413
